"","week","n_part","n_dates"
"1","2020 / 13","1425","7"
"2","2020 / 14","2989","7"
"3","2020 / 15","3251","7"
"4","2020 / 16","2755","7"
"5","2020 / 17","2496","7"
"6","2020 / 18","1428","7"
"7","2020 / 20","1292","5"
"8","2020 / 21","3411","7"
"9","2020 / 22","3441","7"
"10","2020 / 23","3280","7"
"11","2020 / 24","3347","7"
"12","2020 / 25","3225","7"
"13","2020 / 26","3094","7"
"14","2020 / 27","3025","7"
"15","2020 / 28","3000","7"
"16","2020 / 29","2146","7"
"17","2020 / 30","1762","7"
"18","2020 / 31","2141","7"
"19","2020 / 32","2812","7"
"20","2020 / 33","5894","7"
"21","2020 / 34","5247","7"
"22","2020 / 35","5160","7"
"23","2020 / 36","6012","7"
"24","2020 / 37","3836","7"
"25","2020 / 38","5947","7"
"26","2020 / 39","6030","7"
"27","2020 / 40","4570","5"
"28","2020 / 41","4493","7"
"29","2020 / 42","4168","7"
"30","2020 / 43","3708","6"
"31","2020 / 44","4308","7"
"32","2020 / 45","5481","7"
"33","2020 / 46","5070","7"
"34","2020 / 47","4525","6"
"35","2020 / 48","4516","6"
"36","2020 / 49","3317","6"
"37","2020 / 50","4038","7"
"38","2020 / 51","4620","7"
"39","2020 / 52","5657","7"
"40","2020 / 53","4023","4"
"41","2021 / 1","4563","7"
"42","2021 / 18","5226","7"
"43","2021 / 19","4615","7"
"44","2021 / 20","4646","7"
"45","2021 / 21","4752","7"
"46","2021 / 22","4951","7"
"47","2021 / 23","5721","7"
"48","2021 / 24","4742","7"
"49","2021 / 25","4694","7"
"50","2021 / 26","6313","7"
"51","2021 / 27","5980","7"
"52","2021 / 28","4409","7"
"53","2021 / 29","4772","7"
"54","2021 / 30","5263","7"
"55","2021 / 31","5105","7"
"56","2021 / 32","4866","7"
"57","2021 / 33","6194","7"
"58","2021 / 34","6252","7"
"59","2021 / 35","5208","7"
"60","2021 / 36","4834","7"
"61","2021 / 37","4820","6"
"62","2021 / 38","4886","7"
"63","2021 / 39","5285","7"
"64","2021 / 40","5892","7"
"65","2021 / 41","4757","7"
"66","2021 / 42","4782","7"
"67","2021 / 43","5131","7"
"68","2021 / 44","5184","7"
"69","2021 / 45","4825","7"
"70","2021 / 46","4424","7"
"71","2021 / 47","5000","7"
"72","2021 / 48","3315","7"
"73","2021 / 49","4402","7"
"74","2021 / 50","6386","7"
"75","2021 / 51","5345","7"
"76","2021 / 52","5055","5"
"77","2022 / 1","6262","7"
"78","2022 / 2","6220","7"
"79","2022 / 3","5352","7"
"80","2022 / 4","4405","7"
"81","2022 / 5","5454","7"
"82","2022 / 6","5882","7"
"83","2022 / 7","4731","7"
"84","2022 / 8","4570","7"
"85","2022 / 9","1343","3"
